epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2503.25,1.23955,1.00587,1.11021,0.99063,0.49354,0.49366,0.32139,1.22627,0.86587,0.95384,0.000332738,0.000332738,0.0670589
2,4535.47,1.1734,0.7645,1.09366,0.98388,0.49426,0.49533,0.3901,0.78855,2.26864,0.84454,0.000659477,0.000659477,0.0340523
3,16394,1.11774,0.70217,1.06463,0.65696,0.54976,0.54241,0.43098,0.70349,1.28021,0.81676,0.000979617,0.000979617,0.00103914
