epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,2285.9,0.6947,0.47345,0.93351,0.98775,0.72635,0.7593,0.56804,0.5496,0.40855,0.83443,0.0008218,0.0008218,0.0008218
20,2401.1,0.71034,0.47482,0.94195,0.87456,0.70766,0.72043,0.5496,0.54894,0.43536,0.83879,0.0008119,0.0008119,0.0008119
21,2516.87,0.6934,0.46415,0.93913,0.90535,0.76029,0.77836,0.60979,0.49026,0.40011,0.82415,0.000802,0.000802,0.000802
22,2632.39,0.68685,0.4578,0.93142,0.84135,0.74917,0.76007,0.59051,0.50832,0.38462,0.81577,0.0007921,0.0007921,0.0007921
23,2755.73,0.68811,0.47078,0.93439,0.99357,0.73032,0.75651,0.54348,0.67754,0.45093,0.85809,0.0007822,0.0007822,0.0007822
24,2871.77,0.67665,0.45171,0.93024,0.9118,0.73397,0.76603,0.57565,0.55507,0.43359,0.83626,0.0007723,0.0007723,0.0007723
25,2987.16,0.65651,0.45069,0.92817,0.86182,0.73397,0.73621,0.56618,0.53527,0.39162,0.82835,0.0007624,0.0007624,0.0007624
26,3103.54,0.67702,0.45938,0.93002,0.94158,0.72965,0.74977,0.57273,0.61323,0.40038,0.84086,0.0007525,0.0007525,0.0007525
27,3219.18,0.67172,0.4606,0.929,0.81083,0.73397,0.75368,0.60382,0.46919,0.39326,0.81627,0.0007426,0.0007426,0.0007426
28,3334.21,0.65904,0.44124,0.92328,0.77825,0.73397,0.73715,0.5971,0.51027,0.3999,0.82063,0.0007327,0.0007327,0.0007327
29,3449.74,0.66276,0.45485,0.93113,0.78927,0.76029,0.73589,0.59502,0.49105,0.37046,0.806,0.0007228,0.0007228,0.0007228
30,3573.53,0.65962,0.45296,0.92582,0.87985,0.76913,0.77854,0.58271,0.56566,0.36952,0.82001,0.0007129,0.0007129,0.0007129
31,3690.13,0.63664,0.43808,0.92503,0.75023,0.73397,0.69924,0.5738,0.52221,0.41451,0.82503,0.000703,0.000703,0.000703
32,3806.41,0.63981,0.43638,0.92252,0.90774,0.75373,0.78559,0.6144,0.49137,0.37137,0.81147,0.0006931,0.0006931,0.0006931
33,3921.37,0.63536,0.44201,0.91732,0.8999,0.76029,0.77061,0.58499,0.55478,0.37055,0.81871,0.0006832,0.0006832,0.0006832
34,4036.86,0.63199,0.43171,0.9128,0.8056,0.76029,0.7562,0.60175,0.49896,0.38143,0.81642,0.0006733,0.0006733,0.0006733
35,4153.26,0.63021,0.43136,0.91995,0.84127,0.75137,0.75201,0.60807,0.47071,0.3516,0.80954,0.0006634,0.0006634,0.0006634
36,4269.92,0.63462,0.43071,0.9182,0.8162,0.70766,0.74169,0.56552,0.57302,0.38112,0.82635,0.0006535,0.0006535,0.0006535
37,4385.64,0.6171,0.42812,0.91405,0.92399,0.68134,0.71633,0.55052,0.58699,0.38419,0.83918,0.0006436,0.0006436,0.0006436
38,4511.08,0.63164,0.4293,0.91311,0.99246,0.75833,0.78472,0.61765,0.48719,0.3388,0.81267,0.0006337,0.0006337,0.0006337
39,4631.69,0.62713,0.42503,0.91551,0.97395,0.76029,0.76576,0.59261,0.49143,0.36359,0.81263,0.0006238,0.0006238,0.0006238
40,4736.12,0.62496,0.42088,0.91267,0.82249,0.75619,0.73964,0.58613,0.47225,0.37826,0.82825,0.0006139,0.0006139,0.0006139
41,4854.26,0.61448,0.4212,0.90874,0.85914,0.76029,0.77254,0.60201,0.4915,0.33851,0.81295,0.000604,0.000604,0.000604
42,4973.17,0.61638,0.42495,0.91606,0.96575,0.70694,0.75792,0.61042,0.4595,0.37775,0.8162,0.0005941,0.0005941,0.0005941
43,5090.01,0.61061,0.41392,0.90948,0.92334,0.76029,0.78242,0.59857,0.46029,0.33891,0.81145,0.0005842,0.0005842,0.0005842
44,5209.3,0.60025,0.40958,0.91108,0.91539,0.77807,0.78281,0.62842,0.46391,0.32328,0.80359,0.0005743,0.0005743,0.0005743
45,5326.04,0.6037,0.40746,0.91335,0.99361,0.75955,0.78786,0.63107,0.43078,0.31153,0.8028,0.0005644,0.0005644,0.0005644
46,5446.33,0.60629,0.4074,0.90995,0.91305,0.78017,0.7737,0.61294,0.46564,0.32588,0.80932,0.0005545,0.0005545,0.0005545
47,5561.28,0.59002,0.40322,0.9061,0.90555,0.70766,0.74375,0.5918,0.44351,0.34011,0.80606,0.0005446,0.0005446,0.0005446
48,5679.45,0.59736,0.40453,0.90448,0.94859,0.77244,0.77501,0.61278,0.4671,0.333,0.80175,0.0005347,0.0005347,0.0005347
49,5794.95,0.59669,0.40183,0.90641,0.94995,0.76156,0.79037,0.61326,0.47982,0.31692,0.81215,0.0005248,0.0005248,0.0005248
50,5913.23,0.5898,0.39971,0.90617,0.96611,0.76029,0.7907,0.62137,0.483,0.3215,0.81108,0.0005149,0.0005149,0.0005149
51,6038.14,0.58597,0.39809,0.90201,0.95309,0.7866,0.79255,0.60777,0.4829,0.31838,0.80977,0.000505,0.000505,0.000505
52,6155.78,0.59604,0.40367,0.90683,0.81249,0.73397,0.73768,0.59435,0.4501,0.32913,0.81243,0.0004951,0.0004951,0.0004951
53,6273.16,0.5773,0.38959,0.90044,0.87595,0.73397,0.76248,0.5921,0.49169,0.30479,0.80968,0.0004852,0.0004852,0.0004852
54,6385.87,0.58607,0.39634,0.90332,0.99456,0.76023,0.78596,0.6076,0.48622,0.30842,0.81008,0.0004753,0.0004753,0.0004753
55,6505.5,0.58182,0.39317,0.90513,0.96481,0.76029,0.80132,0.60692,0.49855,0.31476,0.81938,0.0004654,0.0004654,0.0004654
56,6620.69,0.57443,0.38593,0.89848,0.91727,0.78565,0.77465,0.616,0.43545,0.32582,0.80257,0.0004555,0.0004555,0.0004555
57,6739.32,0.5793,0.39017,0.89902,0.96666,0.68134,0.74959,0.6085,0.43831,0.3128,0.80427,0.0004456,0.0004456,0.0004456
58,6859.49,0.56932,0.38459,0.89371,0.99149,0.7866,0.80264,0.62312,0.44193,0.3081,0.80199,0.0004357,0.0004357,0.0004357
59,6963.49,0.5685,0.38326,0.89907,0.95728,0.73397,0.7894,0.61859,0.43571,0.30269,0.80315,0.0004258,0.0004258,0.0004258
60,7088.99,0.56758,0.38268,0.8988,0.95837,0.76029,0.7901,0.61897,0.44484,0.30278,0.81332,0.0004159,0.0004159,0.0004159
