epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.574,1.22986,1.43531,1.08583,0.98916,0.48637,0.49238,0.30795,1.48343,1.126,1.12082,0.000330952,0.000330952,0.0672357
2,265.896,1.10129,0.7265,1.04872,0.82931,0.52345,0.53431,0.40643,0.92798,0.74532,0.93683,0.000657709,0.000657709,0.0342291
3,386.196,1.06729,0.67024,1.02928,0.6471,0.62871,0.59238,0.44641,0.85225,0.70206,0.91796,0.000977866,0.000977866,0.00121596
4,502.437,1.03591,0.63568,1.02882,0.78505,0.62799,0.63065,0.49264,0.70282,0.59089,0.89667,0.0009703,0.0009703,0.0009703
5,618.913,1.03821,0.61944,1.03289,0.8396,0.5855,0.62813,0.48527,0.69109,0.72075,0.88874,0.0009604,0.0009604,0.0009604
6,735.092,1.01487,0.6103,1.02206,0.91856,0.54904,0.56949,0.46303,0.67989,0.57377,0.88931,0.0009505,0.0009505,0.0009505
7,866.392,1.00384,0.60498,1.02144,0.73389,0.65222,0.63121,0.46142,0.85941,0.53737,0.91971,0.0009406,0.0009406,0.0009406
8,982.987,0.97561,0.59657,1.00738,0.79583,0.65503,0.64765,0.48707,0.72287,0.57886,0.88958,0.0009307,0.0009307,0.0009307
9,1098.78,0.94338,0.58115,1.00724,0.83246,0.65431,0.65993,0.49567,0.61622,0.59303,0.86669,0.0009208,0.0009208,0.0009208
10,1215.18,0.89813,0.5671,0.99137,0.71444,0.68826,0.70883,0.52305,0.68309,0.50668,0.87488,0.0009109,0.0009109,0.0009109
11,1330.75,0.83055,0.55183,0.97086,0.86426,0.65097,0.65603,0.4935,0.66047,0.48666,0.85839,0.000901,0.000901,0.000901
12,1460.33,0.78334,0.52511,0.95704,0.71727,0.70694,0.67696,0.52162,0.57859,0.50979,0.85847,0.0008911,0.0008911,0.0008911
13,1575.8,0.78066,0.51854,0.95475,0.85439,0.65503,0.69358,0.51841,0.62009,0.47381,0.86814,0.0008812,0.0008812,0.0008812
14,1705.96,0.76606,0.51822,0.95637,0.90109,0.65503,0.70815,0.51249,0.66802,0.48118,0.86125,0.0008713,0.0008713,0.0008713
15,1822.51,0.73129,0.49547,0.94008,0.84233,0.73473,0.74626,0.53219,0.72631,0.50395,0.85746,0.0008614,0.0008614,0.0008614
16,1938.23,0.71619,0.48158,0.93996,0.79543,0.6944,0.71056,0.52605,0.63984,0.50829,0.8478,0.0008515,0.0008515,0.0008515
17,2053.92,0.72479,0.49135,0.94848,0.75947,0.70766,0.70407,0.5397,0.58788,0.44888,0.84456,0.0008416,0.0008416,0.0008416
18,2169.77,0.70414,0.4752,0.93876,0.93205,0.67835,0.72242,0.55791,0.49243,0.38832,0.82117,0.0008317,0.0008317,0.0008317
