controller,episodes,intercepts,intercept_rate,mean_minimum_separation_m,mean_duration_s,mean_energy_used,mean_reward
apn,225,225,1.0,15.762683957417806,9.088888888888889,2.130476513641243,173.58330305141718
ppo,225,225,1.0,15.931684850056966,9.083111111111112,2.145192399486614,173.56541828609122
