controller,episodes,intercepts,intercept_rate,intercept_rate_wilson_95,mean_minimum_separation_m,mean_duration_s,duration_s_p95,mean_energy_used,energy_used_p95,mean_controller_action_norm,mean_action_saturation_fraction,mean_applied_acceleration_mps2,mean_reward
apn,100,100,1.0,"[0.9630065017930143, 1.0]",15.823277740478515,12.612,20.755,2.9411175878978484,4.338666189711829,0.1984169229755193,0.0692104250943482,13.27944655633349,205.06238140358843
ppo,100,100,1.0,"[0.9630065017930143, 1.0]",15.864423456192016,12.6375,20.9925,2.9705110510195074,4.344811928032934,0.09500705879456453,0.0,13.43050306966518,205.04622152455687
