scenario_id,label,episodes,intercept_rate,intercept_rate_wilson_95,duration_p95_s,energy_p95,mean_action_saturation_fraction,performance_limit_utilization,passed
compound-edge,Compound maximum-stress edge case,10,0.0,"[0.0, 0.2775327998628892]",120.0,30.345933170214167,0.021249999999999998,2.528827764184514,False
spiral-noisy,Noisy spiral approach,10,0.2,"[0.05668215145437519, 0.5098375284633583]",120.0,32.97327920490559,0.032186789498301914,4.121659900613198,False
remote-launch,Remote interceptor launch point,10,0.2,"[0.05668215145437519, 0.5098375284633583]",27.200000000000003,10.739648116667341,0.1696435740133611,1.3424560145834177,False
degraded-track,Intermittent degraded sensor track,10,0.3,"[0.10779126740630099, 0.6032218525388546]",61.755,19.785031177186326,0.12713333639732968,2.4731288971482908,False
agile-pop-up,Agile pop-up attack,10,0.3,"[0.10779126740630099, 0.6032218525388546]",35.620000000000005,15.234446387104006,0.22599536786728014,1.9043057983880007,False
crosswind-crossing,High-crosswind crossing target,10,1.0,"[0.7224672001371107, 0.9999999999999999]",45.727500000000006,14.53297257867531,0.18135298513777848,1.8166215723344137,False
terrain-mask-low,Low-altitude terrain-mask approach,10,1.0,"[0.7224672001371107, 0.9999999999999999]",17.842499999999998,4.449889254811206,0.05167012800340713,0.5562361568514007,False
baseline-direct,Baseline direct approach,10,1.0,"[0.7224672001371107, 0.9999999999999999]",9.255,2.69146573063848,0.06376908706369487,0.33643321632981,False
