controller,episodes,intercepts,intercept_rate,mean_minimum_separation_m,mean_duration_s,mean_energy_used,mean_reward
apn,90,90,1.0,15.730467573801677,9.096111111111112,2.1377715499529306,173.58464254315564
random,90,0,0.0,520.9127622392442,54.67611111111111,33.98893074141382,-214.47834217857772
