controller,episodes,intercepts,intercept_rate,mean_minimum_separation_m,mean_duration_s,mean_energy_used,mean_reward
apn,36,36,1.0,15.838509347703722,9.738888888888889,2.3820621579546333,184.51046037535738
ppo,36,36,1.0,15.719288084242079,9.741666666666667,2.3961916618568493,184.51975227239532
