epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,6170.43,1.17777,0.86806,1.11637,0.77813,0.73118,0.73747,0.55441,0.91039,0.81808,0.87817,0.0007624,0.0007624,0.0007624
26,6411.52,1.16083,0.84912,1.10281,0.73838,0.73007,0.72595,0.53698,0.91233,0.80203,0.87915,0.0007525,0.0007525,0.0007525
27,6652.29,1.17666,0.86898,1.11331,0.73477,0.71668,0.72231,0.52501,0.92285,0.79138,0.87792,0.0007426,0.0007426,0.0007426
28,6893.34,1.16137,0.84495,1.10783,0.85636,0.73381,0.7438,0.53211,0.91568,0.73313,0.87758,0.0007327,0.0007327,0.0007327
29,7134.17,1.14676,0.83689,1.09623,0.8188,0.72213,0.74193,0.54302,0.8933,0.71106,0.867,0.0007228,0.0007228,0.0007228
30,7374.56,1.16168,0.84079,1.10451,0.8022,0.69851,0.72004,0.53495,0.90041,0.76146,0.86721,0.0007129,0.0007129,0.0007129
31,7615.27,1.158,0.83482,1.0916,0.78065,0.69581,0.71495,0.53552,0.89258,0.72027,0.86126,0.000703,0.000703,0.000703
32,7855.95,1.14443,0.81895,1.09607,0.8291,0.73887,0.74965,0.5509,0.88137,0.6997,0.85681,0.0006931,0.0006931,0.0006931
33,8097.27,1.14048,0.80834,1.09446,0.87974,0.73474,0.75057,0.54563,0.87822,0.6965,0.85424,0.0006832,0.0006832,0.0006832
34,8338.27,1.14933,0.81248,1.09465,0.92548,0.73378,0.76625,0.54701,0.87603,0.71623,0.85563,0.0006733,0.0006733,0.0006733
35,8578.46,1.12983,0.80451,1.08799,0.86716,0.70073,0.73131,0.55413,0.87339,0.70932,0.85551,0.0006634,0.0006634,0.0006634
36,8818.99,1.12743,0.79978,1.08055,0.86797,0.72619,0.75833,0.55443,0.8735,0.70764,0.8536,0.0006535,0.0006535,0.0006535
37,9059.4,1.12579,0.79368,1.08113,0.91215,0.71726,0.75451,0.55289,0.86258,0.72333,0.84868,0.0006436,0.0006436,0.0006436
38,9299.5,1.12476,0.79229,1.07388,0.81525,0.73123,0.74776,0.56014,0.8583,0.69899,0.84682,0.0006337,0.0006337,0.0006337
39,9540.04,1.12334,0.78478,1.07771,0.89347,0.71846,0.75102,0.55309,0.86048,0.67811,0.84805,0.0006238,0.0006238,0.0006238
40,9780.55,1.12619,0.79005,1.07424,0.85414,0.73919,0.75592,0.55623,0.8546,0.67633,0.84584,0.0006139,0.0006139,0.0006139
41,10021.1,1.10355,0.76738,1.05958,0.86433,0.72899,0.75283,0.55757,0.85125,0.65571,0.84372,0.000604,0.000604,0.000604
42,10262.2,1.11772,0.77867,1.07231,0.8296,0.73456,0.73905,0.55658,0.85506,0.64722,0.8436,0.0005941,0.0005941,0.0005941
43,10503.2,1.10799,0.77513,1.06652,0.86063,0.73086,0.74229,0.56114,0.85306,0.65422,0.8442,0.0005842,0.0005842,0.0005842
44,10744.7,1.10505,0.75979,1.05969,0.83728,0.72055,0.74263,0.56311,0.85134,0.63924,0.84269,0.0005743,0.0005743,0.0005743
45,10987.1,1.10433,0.77131,1.068,0.78418,0.73749,0.74375,0.56085,0.84864,0.62852,0.8419,0.0005644,0.0005644,0.0005644
46,11230.3,1.09923,0.75623,1.06137,0.79833,0.73893,0.74192,0.56089,0.84347,0.6176,0.83976,0.0005545,0.0005545,0.0005545
47,11472.6,1.09438,0.74394,1.05536,0.78572,0.73977,0.74152,0.56193,0.8403,0.60899,0.83848,0.0005446,0.0005446,0.0005446
48,11714,1.08762,0.73656,1.05784,0.79523,0.73355,0.74499,0.56379,0.83845,0.60634,0.83746,0.0005347,0.0005347,0.0005347
49,11956.8,1.09287,0.7531,1.05666,0.78343,0.75263,0.74884,0.56463,0.83651,0.59801,0.83686,0.0005248,0.0005248,0.0005248
50,12197.7,1.09126,0.74016,1.05665,0.77841,0.74193,0.74955,0.56539,0.83504,0.59722,0.83591,0.0005149,0.0005149,0.0005149
51,12437.5,1.09075,0.74238,1.05046,0.76403,0.74292,0.74845,0.56762,0.83379,0.59391,0.83536,0.000505,0.000505,0.000505
52,12677.8,1.08349,0.73467,1.04829,0.76529,0.72289,0.74701,0.56896,0.83367,0.59308,0.8349,0.0004951,0.0004951,0.0004951
53,12917.8,1.06478,0.72343,1.04977,0.76647,0.74243,0.74321,0.56789,0.83181,0.58545,0.834,0.0004852,0.0004852,0.0004852
54,13157.6,1.08125,0.73074,1.05182,0.76617,0.74209,0.7474,0.5683,0.83178,0.58485,0.83313,0.0004753,0.0004753,0.0004753
55,13396.6,1.06416,0.71078,1.03981,0.76421,0.74322,0.74765,0.56818,0.83051,0.58177,0.83269,0.0004654,0.0004654,0.0004654
56,13636.4,1.07306,0.72885,1.04883,0.7764,0.74308,0.74987,0.56664,0.82975,0.57846,0.83201,0.0004555,0.0004555,0.0004555
57,13876.6,1.06947,0.72425,1.04284,0.82398,0.73582,0.74701,0.56854,0.82829,0.57706,0.83137,0.0004456,0.0004456,0.0004456
58,14116.6,1.06133,0.71097,1.04539,0.82344,0.73609,0.74845,0.56959,0.82801,0.5736,0.83123,0.0004357,0.0004357,0.0004357
59,14357.7,1.06938,0.71258,1.04076,0.80702,0.74225,0.74949,0.56967,0.82688,0.57028,0.83063,0.0004258,0.0004258,0.0004258
60,14598.7,1.05438,0.70597,1.03543,0.81146,0.742,0.74966,0.57115,0.82656,0.56898,0.83044,0.0004159,0.0004159,0.0004159
61,14837.7,1.06098,0.69609,1.03677,0.82951,0.73904,0.74975,0.57082,0.82634,0.56571,0.83031,0.000406,0.000406,0.000406
62,15077.7,1.0557,0.70476,1.03776,0.83014,0.74021,0.75009,0.57191,0.8245,0.5652,0.82967,0.0003961,0.0003961,0.0003961
63,15317.9,1.05744,0.70122,1.03848,0.83009,0.739,0.74996,0.57233,0.82423,0.56329,0.82909,0.0003862,0.0003862,0.0003862
64,15557.6,1.05653,0.68921,1.04169,0.83017,0.73855,0.75167,0.57335,0.823,0.56242,0.82859,0.0003763,0.0003763,0.0003763
65,15797.8,1.04018,0.68172,1.03512,0.82963,0.73929,0.75223,0.57677,0.82264,0.56133,0.82815,0.0003664,0.0003664,0.0003664
66,16038.5,1.03605,0.6795,1.02696,0.82809,0.73774,0.75481,0.57706,0.82236,0.56039,0.8278,0.0003565,0.0003565,0.0003565
67,16278.4,1.0368,0.68241,1.02963,0.88058,0.70843,0.75559,0.57706,0.82125,0.55964,0.82767,0.0003466,0.0003466,0.0003466
68,16518.1,1.03271,0.6753,1.02231,0.87915,0.70878,0.75514,0.57574,0.82036,0.55848,0.82737,0.0003367,0.0003367,0.0003367
69,16758,1.03733,0.67643,1.02813,0.91985,0.72446,0.78548,0.5795,0.81987,0.55809,0.82708,0.0003268,0.0003268,0.0003268
70,16997.6,1.03426,0.67815,1.02851,0.92567,0.71999,0.78718,0.57947,0.81911,0.55773,0.82674,0.0003169,0.0003169,0.0003169
71,17237.3,1.02753,0.67219,1.0274,0.92685,0.71982,0.78652,0.5781,0.81843,0.55646,0.82649,0.000307,0.000307,0.000307
72,17477.2,1.02343,0.66856,1.02547,0.92586,0.72049,0.78591,0.57714,0.81778,0.55635,0.82612,0.0002971,0.0002971,0.0002971
73,17717.5,1.02561,0.66569,1.03495,0.92889,0.71963,0.78357,0.57631,0.8176,0.55572,0.82581,0.0002872,0.0002872,0.0002872
74,17957.2,1.02681,0.66042,1.02347,0.93009,0.71888,0.7826,0.57505,0.81727,0.55389,0.8254,0.0002773,0.0002773,0.0002773
75,18196.4,1.02488,0.66127,1.02583,0.93384,0.71912,0.78368,0.57559,0.81665,0.55408,0.82519,0.0002674,0.0002674,0.0002674
76,18436.3,1.02309,0.65677,1.02156,0.88877,0.70609,0.7592,0.57482,0.81602,0.5522,0.82482,0.0002575,0.0002575,0.0002575
77,18677,1.02791,0.65899,1.02135,0.8919,0.70634,0.75716,0.57319,0.81523,0.55022,0.82438,0.0002476,0.0002476,0.0002476
78,18916.6,1.01262,0.64659,1.0168,0.94533,0.7212,0.78339,0.57699,0.81454,0.54835,0.824,0.0002377,0.0002377,0.0002377
79,19157.6,1.01629,0.65564,1.02041,0.90409,0.70409,0.7578,0.57349,0.81438,0.5479,0.82384,0.0002278,0.0002278,0.0002278
80,19397.4,1.0018,0.64201,1.01123,0.95173,0.72095,0.78388,0.57571,0.81399,0.54647,0.82364,0.0002179,0.0002179,0.0002179
81,19639.5,1.00655,0.64503,1.01531,0.95196,0.72231,0.78588,0.57736,0.81329,0.54605,0.82336,0.000208,0.000208,0.000208
82,19882.2,1.01161,0.64188,1.01293,0.94881,0.72436,0.7848,0.57803,0.81264,0.5461,0.82307,0.0001981,0.0001981,0.0001981
83,20125.2,1.00334,0.64329,1.01504,0.94868,0.72473,0.78512,0.57552,0.81216,0.54475,0.82259,0.0001882,0.0001882,0.0001882
84,20367.4,1.01091,0.64243,1.0164,0.95034,0.72482,0.78509,0.57597,0.81103,0.54352,0.82216,0.0001783,0.0001783,0.0001783
