epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.802,1.66373,1.9063,1.38996,0.8348,0.40685,0.44714,0.21757,1.82575,5.12615,1.35379,0.000333064,0.000333064,0.0670266
2,563.005,1.58895,1.52741,1.35203,0.79377,0.41975,0.40979,0.19383,1.63102,2.63074,1.22671,0.0006598,0.0006598,0.03402
3,810.071,1.54763,1.44905,1.3154,0.82747,0.44517,0.48053,0.2896,1.42233,1.5523,1.085,0.000979936,0.000979936,0.00100684
4,1053.96,1.50576,1.3506,1.28677,0.84555,0.27463,0.35768,0.20938,1.564,4.37953,1.27643,0.0009703,0.0009703,0.0009703
5,1299.02,1.45274,1.26607,1.25519,0.86268,0.53441,0.55503,0.35103,1.33501,1.88777,1.04402,0.0009604,0.0009604,0.0009604
6,1543.98,1.40448,1.21063,1.22885,0.95278,0.49311,0.6166,0.39164,1.28906,1.37153,1.02604,0.0009505,0.0009505,0.0009505
7,1787.53,1.36242,1.15315,1.21739,0.59816,0.49994,0.58181,0.40204,1.18777,3.02233,0.99075,0.0009406,0.0009406,0.0009406
8,2030.78,1.34293,1.11369,1.1966,0.68936,0.578,0.61857,0.4297,1.12734,1.44151,0.99078,0.0009307,0.0009307,0.0009307
9,2272.34,1.32955,1.09305,1.20115,0.82845,0.61354,0.63037,0.43789,1.0899,1.88055,0.95875,0.0009208,0.0009208,0.0009208
10,2516.96,1.3052,1.06383,1.18527,0.78963,0.63458,0.65549,0.43765,1.10799,1.90371,0.95016,0.0009109,0.0009109,0.0009109
11,2763.18,1.28905,1.03758,1.17254,0.93279,0.56548,0.64593,0.45245,1.0951,1.06404,0.96457,0.000901,0.000901,0.000901
12,3009.01,1.28285,1.03134,1.17035,0.72822,0.65732,0.65683,0.46783,1.04718,1.10988,0.93517,0.0008911,0.0008911,0.0008911
13,3260.63,1.27527,1.00441,1.16701,0.9402,0.54492,0.643,0.45667,1.04679,1.08395,0.93431,0.0008812,0.0008812,0.0008812
14,3508.3,1.26174,0.99314,1.15725,0.63103,0.6863,0.67333,0.47437,0.99902,1.30514,0.91512,0.0008713,0.0008713,0.0008713
15,3752.24,1.26656,0.98321,1.15583,0.80408,0.66688,0.71003,0.4965,1.02223,1.00943,0.92591,0.0008614,0.0008614,0.0008614
16,3996,1.24994,0.96834,1.15089,0.78791,0.66301,0.69955,0.47915,0.97973,1.19983,0.90807,0.0008515,0.0008515,0.0008515
17,4239.01,1.23252,0.9414,1.14802,0.86883,0.66178,0.71746,0.49553,0.97265,1.17061,0.90513,0.0008416,0.0008416,0.0008416
18,4481.23,1.23825,0.95609,1.1501,0.80722,0.67605,0.7143,0.50406,0.97866,0.94672,0.91415,0.0008317,0.0008317,0.0008317
19,4722.81,1.21583,0.92306,1.13604,0.79648,0.7048,0.72709,0.50475,0.97998,0.8721,0.90005,0.0008218,0.0008218,0.0008218
20,4964.94,1.21428,0.91981,1.12742,0.72052,0.68866,0.69601,0.50941,0.95495,0.85359,0.89253,0.0008119,0.0008119,0.0008119
21,5206.29,1.21544,0.90953,1.13086,0.71878,0.70964,0.72713,0.5155,0.94941,1.09131,0.89763,0.000802,0.000802,0.000802
22,5447.02,1.19081,0.88969,1.11695,0.88239,0.66846,0.73501,0.53364,0.93469,0.87921,0.88844,0.0007921,0.0007921,0.0007921
23,5687.81,1.18942,0.88873,1.12122,0.78645,0.69675,0.71863,0.52276,0.93902,0.7692,0.88494,0.0007822,0.0007822,0.0007822
24,5928.73,1.18559,0.87571,1.11627,0.81574,0.73198,0.74224,0.52393,0.93625,0.81475,0.88108,0.0007723,0.0007723,0.0007723
